iter	Passed	Remaining
0	4472	4467896
1	7185	3585689
2	9557	3176338
3	12373	3080985
4	14971	2979324
5	17869	2960412
6	20316	2881996
7	22920	2842198
8	25456	2803069
9	28124	2784308
10	30487	2741062
11	33088	2724296
12	35475	2693436113	38305	2697828114	40989	2691663115	43660	2685141116	46336	2679328117	48929	2669392118	53811	2778348119	56450	2766072220	59045	2752661221	61754	2745247222	64284	273068423	68438	2783151
24	72243	2817508
25	75127	2814374
26	78060	2813054
27	81067	2814211
28	84137	2817171
29	87065	2815117
30	90102	2816443
31	92871	2809357
32	95637	2802466
33	98178	2789433
34	100871	2781157
35	104155	2789049
36	107078	2786933
37	109979	2784216
38	112684	2776665
39	115746	2777910
40	118487	2771439
41	121541	2772294
42	124161	2763320
43	126664	2752077
44	129493	2748139
45	132651	2751075
46	135402	2745500
47	138226	2741494
48	141255	2741503
49	144008	2736163
50	147135	2737865
51	149669	2728586
52	152528	2725368
53	155358	2721656
54	158679	2726410
55	161736	2726412
56	164469	2720953
57	167554	2721313
58	170827	2724548
59	174052	2726817
60	177226	2728131
61	179953	2722519
62	183097	2723209
63	185946	2719470
64	188574	2712570
65	191452	2709338
66	194190	2704168
67	197074	2701079
68	199440	2690998669	202513	2690538770	205507	2688964
71	208297	2684723
72	210866	2677717
73	214214	2680580
74	216581	2671168
75	218980	2662341776	221139	2650806777	223670	2643901778	226534	2640990779	229251	2636391880	231879	263083581	234246	2622418
882	235754	2604662883	238006	259540784	241675	2601570
885	243000	2582587886	245634	257775087	249429	2584998
888	251743	2576836889	254332	257158690	257560	2572769
91	260420	2570241
92	262998	2564945
93	265877	2562604
94	268682	2559557
95	271067	2552554
96	274133	2551986
97	276885	2548473
98	279541	2544112
99	282055	2538496
100	284191	2529587

101	284094	2501149
02	277274	24147111103	279926	2411672104	281625	2400525
1105	284516	2399599

6	281911	2352774
107	284151	2346881
