,WaveNumber
296,402.27789
297,402.96127
298,403.64465
299,404.32803
300,405.01138
301,405.69476
302,406.37814
303,407.06149
304,407.74487
305,408.42825
306,409.1116
307,409.79498
308,410.47836
309,411.16174
310,411.84509
311,412.52847
312,413.21185
313,413.8952
314,414.57858
315,415.26196
316,415.94534
317,416.62869
318,417.31207
319,417.99545
320,418.6788
321,419.36218
322,420.04556
323,420.72894
324,421.41229
325,422.09567
326,422.77905
327,423.4624
328,424.14578
329,424.82916
330,425.51254
331,426.19589
332,426.87927
333,427.56265
334,428.246
335,428.92938
336,429.61276
337,430.29614
338,430.97949
339,431.66287
340,432.34625
341,433.0296
342,433.71298
343,434.39636
344,435.07971
345,435.76309
346,436.44647
347,437.12985
348,437.8132
349,438.49658
350,439.17996
351,439.86331
352,440.54669
353,441.23007
354,441.91345
355,442.5968
356,443.28018
357,443.96356
358,444.64691
359,445.33029
360,446.01367
361,446.69705
362,447.3804
363,448.06378
364,448.74716
365,449.43051
366,450.11389
367,450.79727
368,451.48065
369,452.164
370,452.84738
371,453.53076
372,454.21411
373,454.89749
374,455.58087
375,456.26425
376,456.9476
377,457.63098
378,458.31436
379,458.99771
380,459.68109
381,460.36447
382,461.04782
383,461.7312
384,462.41458
385,463.09796
386,463.78131
387,464.46469
388,465.14807
389,465.83142
390,466.5148
391,467.19818
392,467.88156
393,468.56491
394,469.24829
395,469.93167
396,470.61502
397,471.2984
398,471.98178
399,472.66516
400,473.34851
401,474.03189
402,474.71527
403,475.39862
404,476.082
405,476.76538
406,477.44876
407,478.13211
408,478.81549
409,479.49887
410,480.18222
411,480.8656
412,481.54898
413,482.23236
414,482.91571
415,483.59909
416,484.28247
417,484.96582
418,485.6492
419,486.33258
420,487.01593
421,487.69931
422,488.38269
423,489.06607
424,489.74942
425,490.4328
426,491.11618
427,491.79953
428,492.48291
429,493.16629
430,493.84967
431,494.53302
432,495.2164
433,495.89978
434,496.58313
435,497.26651
436,497.94989
437,498.63327
438,499.31662
439,500.0
440,500.68338
441,501.36673
442,502.05011
443,502.73349
444,503.41687
445,504.10022
446,504.7836
447,505.46698
448,506.15033
449,506.83371
450,507.51709
451,508.20047
452,508.88382
453,509.5672
454,510.25058
455,510.93393
456,511.61731
457,512.30066
458,512.98407
459,513.66742
460,514.35077
461,515.03418
462,515.71753
463,516.40094
464,517.08429
465,517.76764
466,518.45105
467,519.1344
468,519.81775
469,520.50116
470,521.18451
471,521.86786
472,522.55127
473,523.23462
474,523.91797
475,524.60138
476,525.28473
477,525.96814
478,526.65149
479,527.33484
480,528.01825
481,528.7016
482,529.38495
483,530.06836
484,530.75171
485,531.43506
486,532.11847
487,532.80182
488,533.48517
489,534.16858
490,534.85193
491,535.53528
492,536.21869
493,536.90204
494,537.58545
495,538.2688
496,538.95215
497,539.63556
498,540.31891
499,541.00226
500,541.68567
